emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
cable/telephone technitian,2,FL,MORTGAGE,75000,Source Verified,4.88,NA,,NA,0,NA,2013,1,8,7,181756,7443,0,1,NA,0,0,1,4,12,7,0,0,2,4700,5,5,4,1,100,0,1,debt_consolidation,individual,4000,36,9.92,whole,Cash,70
truck driver,6,AZ,RENT,72000,Not Verified,22.99,NA,,NA,0,NA,2008,3,26,15,86372,63459,0,1,NA,0,0,2,16,4,15,0,0,7,16600,13,13,9,0,100,0,1,credit_card,individual,9600,36,19.42,fractional,Cash,71
cashier,1,IL,MORTGAGE,60000,Source Verified,11.38,NA,,NA,0,NA,2005,1,30,22,240289,17353,0,1,70,0,362,0,8,2,19,NA,0,6,15600,28,18,8,2,100,0,1,home_improvement,individual,20000,60,20,whole,Cash,72
chief operating officer,8,CA,RENT,120000,Source Verified,9.41,NA,,NA,2,4,2004,0,10,6,38020,13867,0,1,4,0,0,1,0,NA,6,0,0,4,15100,7,5,5,1,50,1,0,debt_consolidation,individual,16100,36,24.84,fractional,Cash,73
training nco,10,MD,RENT,80000,Not Verified,13.51,NA,,NA,0,NA,1994,0,12,7,54159,34059,0,0,NA,0,0,2,4,NA,7,0,0,3,28900,9,5,3,0,100,0,0,other,individual,3600,36,6.72,whole,Cash,74
transportation services,6,NC,MORTGAGE,66000,Source Verified,9.55,NA,,NA,0,NA,2015,3,9,6,252254,25166,0,1,NA,0,153,1,8,1,6,0,0,3,2500,4,4,4,1,100,0,1,home_improvement,individual,8000,36,18.45,fractional,Cash,75
consultant,9,OR,RENT,165000,Source Verified,10.81,NA,,NA,0,NA,2005,0,21,15,165900,75616,0,0,NA,0,0,2,2,19,15,0,0,7,107600,17,13,10,0,100,0,0,debt_consolidation,individual,20000,36,7.96,whole,Cash,76
coordinator,0,NC,RENT,100000,Source Verified,10.31,NA,,NA,0,42,2002,0,14,6,26600,25254,0,0,NA,0,0,0,2,NA,6,0,0,3,24600,8,6,3,3,92.9,0,0,debt_consolidation,individual,40000,60,12.61,whole,Cash,77
supplier development engineer,0,AL,MORTGAGE,129000,Verified,29.18,NA,,NA,0,NA,1999,0,38,22,309897,108002,0,0,NA,0,0,4,9,17,22,0,0,11,57400,24,16,15,1,100,0,0,debt_consolidation,individual,27575,60,17.09,whole,Cash,78
dental hygienist,10,TN,MORTGAGE,60000,Not Verified,38.46,NA,,NA,0,NA,1995,0,21,11,136815,75552,0,0,NA,0,0,3,1,NA,11,0,0,3,39700,10,8,3,2,100,0,0,credit_card,individual,20000,60,19.03,whole,Cash,79
manager,0,MO,OWN,30000,Source Verified,16.3,NA,,NA,2,12,2008,1,30,16,43799,21133,0,0,NA,0,216,11,5,4,16,0,0,4,16800,7,5,4,0,89.7,0,0,credit_card,individual,9600,36,9.93,whole,Cash,80
systems engineer,9,WI,MORTGAGE,103000,Verified,26.94,NA,,NA,0,NA,2011,2,27,17,256695,57371,0,0,NA,0,0,3,4,1,17,0,0,3,21000,12,11,5,5,100,0,0,debt_consolidation,individual,27400,60,13.58,whole,Cash,81
senior support representative,2,IL,MORTGAGE,85000,Verified,19.17,NA,,NA,2,16,2000,1,26,10,456425,62890,0,0,23,0,0,4,4,6,10,0,0,1,15700,17,4,2,2,76.9,0,0,home_improvement,individual,20000,60,16.02,fractional,Cash,82
campus safety officer,0,CO,MORTGAGE,44000,Not Verified,34,81000,Not Verified,26.57,0,28,1979,1,17,8,266755,31307,0,0,NA,0,0,3,2,0,8,0,0,4,40000,11,4,4,2,94.1,0,0,other,joint,6000,36,10.42,whole,Cash,83
lead,4,NV,MORTGAGE,26600,Not Verified,47.61,65900,Not Verified,20.43,0,NA,2001,0,13,9,210915,55320,0,0,NA,0,0,2,3,21,9,0,0,1,17000,8,6,2,3,100,0,0,debt_consolidation,joint,16000,36,7.35,fractional,Cash,84
server deliver manager,1,FL,MORTGAGE,128000,Source Verified,23.81,128000,Not Verified,24.26,0,NA,1995,1,40,18,626536,156179,0,0,NA,0,0,4,9,1,18,0,0,6,40400,24,12,7,5,100,0,0,debt_consolidation,joint,30700,60,13.58,whole,Cash,85
driver ,7,NC,MORTGAGE,60000,Source Verified,14.26,NA,,NA,0,NA,2011,1,12,9,218938,41796,0,0,NA,0,0,2,2,2,9,0,0,4,28500,7,6,5,1,100,0,0,debt_consolidation,individual,13000,60,16.02,whole,Cash,86
ceo,3,PA,MORTGAGE,125000,Verified,17.87,NA,,NA,0,NA,1996,1,49,25,488204,111106,0,0,NA,0,0,3,7,7,25,0,0,8,82000,31,21,10,4,100,0,0,credit_card,individual,40000,60,7.35,whole,Cash,87
consultant,5,TX,MORTGAGE,52000,Source Verified,16.29,NA,,NA,0,NA,2001,3,17,14,145551,18926,1,0,NA,0,311,1,7,6,14,0,0,3,12200,12,11,6,2,100,0,0,other,individual,3000,36,16.02,whole,Cash,88
customer service,10,MD,RENT,50000,Not Verified,35.84,NA,,NA,0,NA,1985,0,20,9,82609,43574,0,0,NA,0,0,3,1,NA,9,0,0,3,16900,13,6,5,0,100,0,0,medical,individual,20000,36,7.97,whole,Cash,89
teacher,10,FL,OWN,71000,Not Verified,10.29,NA,,NA,0,28,1988,2,21,10,39100,52703,0,0,28,0,0,3,3,7,10,0,0,4,16600,10,6,4,0,78.9,0,0,debt_consolidation,individual,14000,36,15.04,whole,Cash,90
pediatrician,10,CA,MORTGAGE,275000,Not Verified,9.72,NA,,NA,0,48,1995,2,26,13,884610,127446,0,0,49,0,0,4,6,5,13,0,0,7,64600,15,7,7,3,84,0,0,credit_card,individual,40000,36,7.35,whole,DirectPay,91
sales,10,FL,MORTGAGE,45000,Source Verified,22.01,NA,,NA,1,17,1988,0,12,7,194242,24925,0,0,54,0,101,1,1,22,7,0,0,2,5600,6,4,4,2,75,0,0,home_improvement,individual,7000,36,9.44,whole,Cash,92
control room operator ,10,TX,RENT,125000,Source Verified,4.63,NA,,NA,0,NA,2007,1,15,5,28500,17146,0,0,NA,0,0,0,0,7,5,0,0,5,28500,11,5,5,0,100,0,0,credit_card,individual,27000,60,23.88,whole,Cash,93
receptionist,1,MD,RENT,36400,Source Verified,42.93,111400,Source Verified,28.03,0,NA,2014,1,9,7,71685,50731,0,0,NA,0,0,3,5,6,7,0,0,2,9700,5,4,3,0,100,0,0,debt_consolidation,joint,15200,36,24.85,fractional,Cash,94
director,0,CA,OWN,150000,Source Verified,9.16,NA,,NA,1,9,1987,2,27,10,835975,96806,0,0,9,0,0,1,3,5,10,0,0,3,44000,18,8,6,5,96.2,0,0,other,individual,18000,60,9.44,whole,Cash,95
manager,10,TX,OWN,33999,Verified,1.41,79999,Verified,0.98,0,NA,1983,0,14,7,237356,2409,0,0,NA,0,0,0,1,20,7,0,0,2,58000,9,6,3,2,100,0,0,house,joint,40000,60,9.44,whole,Cash,96
regional sales manager,10,IN,MORTGAGE,100000,Source Verified,11.95,NA,,NA,0,63,2005,0,42,13,231686,64495,0,0,NA,0,0,2,5,20,13,0,0,3,23100,16,10,5,2,95.2,0,0,debt_consolidation,individual,18000,36,10.42,whole,Cash,97
program coordinator,10,CA,RENT,49000,Source Verified,23.22,NA,,NA,0,26,2006,0,44,22,358026,63446,0,0,NA,0,0,3,13,13,22,0,0,7,46900,34,18,10,1,97.7,0,0,debt_consolidation,individual,16000,60,10.41,whole,Cash,98
lieutenant of police,10,IL,MORTGAGE,197000,Source Verified,8.37,NA,,NA,0,NA,2001,10,35,13,89655,44767,0,1,NA,0,0,2,9,0,13,0,0,2,29200,15,10,4,1,100,0,1,debt_consolidation,individual,27000,60,16.01,whole,Cash,99
vacation specialist,2,FL,RENT,75000,Not Verified,7.95,NA,,NA,0,NA,1995,3,12,4,48158,21134,0,0,NA,0,0,1,5,8,4,0,0,3,31500,9,3,3,0,100,0,0,debt_consolidation,individual,10000,36,6.08,whole,Cash,100
safety monitor,2,AZ,RENT,35000,Source Verified,8.02,NA,,NA,0,NA,1989,2,8,8,16680,5178,0,0,NA,0,0,1,5,5,8,0,0,3,7500,5,5,4,0,100,0,0,other,individual,12000,36,7.35,whole,Cash,101
electrician,1,CA,RENT,31000,Not Verified,29.89,NA,,NA,0,NA,2008,0,7,7,65511,26745,0,0,NA,0,0,1,2,NA,7,0,0,4,42000,6,6,4,0,100,0,0,credit_card,individual,15000,36,24.85,whole,Cash,102
rn,2,KY,MORTGAGE,81000,Source Verified,22.1,NA,,NA,0,68,2002,3,21,15,268803,83976,0,0,NA,0,78,9,4,7,15,0,0,2,21300,7,5,4,1,95.2,0,0,debt_consolidation,individual,12000,60,17.09,whole,Cash,103
research faculty associate,8,CA,RENT,86000,Not Verified,12.14,NA,,NA,0,NA,1990,2,16,9,80200,25908,0,0,NA,0,0,1,4,7,9,0,0,4,46800,15,8,5,0,100,0,0,credit_card,individual,16000,60,9.93,whole,Cash,104
